pathwayId,topicSlug,mergeTargetTopicSlug,status,reasonCode,sourceLessonIds,sourceLessonSlugs,targetLessonIds,targetLessonSlugs,appliedArchiveCount,notes
ca-np-cnple,mens-bph,renal-bph,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""renal-bph""."
ca-np-cnple,mens-ed,renal-ed,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""renal-ed""."
ca-np-cnple,mens-infertility,renal-male-infertility,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""renal-male-infertility""."
ca-np-cnple,mens-prostatitis,renal-prostatitis,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""renal-prostatitis""."
ca-np-cnple,msk-osteoporosis,endo-osteoporosis,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""endo-osteoporosis""."
ca-np-cnple,pharm-polypharm-cross,geri-polypharm,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""geri-polypharm""."
ca-np-cnple,resp-pe,cv-pe,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""cv-pe""."
ca-np-cnple,wh-osteoporosis,endo-osteoporosis,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""endo-osteoporosis""."
us-np-agpcnp,mens-bph,renal-bph,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""renal-bph""."
us-np-agpcnp,mens-ed,renal-ed,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""renal-ed""."
us-np-agpcnp,mens-infertility,renal-male-infertility,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""renal-male-infertility""."
us-np-agpcnp,mens-prostatitis,renal-prostatitis,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""renal-prostatitis""."
us-np-agpcnp,msk-osteoporosis,endo-osteoporosis,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""endo-osteoporosis""."
us-np-agpcnp,pharm-polypharm-cross,geri-polypharm,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""geri-polypharm""."
us-np-agpcnp,resp-pe,cv-pe,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""cv-pe""."
us-np-agpcnp,wh-osteoporosis,endo-osteoporosis,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""endo-osteoporosis""."
us-np-fnp,mens-bph,renal-bph,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""renal-bph""."
us-np-fnp,mens-ed,renal-ed,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""renal-ed""."
us-np-fnp,mens-infertility,renal-male-infertility,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""renal-male-infertility""."
us-np-fnp,mens-prostatitis,renal-prostatitis,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""renal-prostatitis""."
us-np-fnp,msk-osteoporosis,endo-osteoporosis,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""endo-osteoporosis""."
us-np-fnp,pharm-polypharm-cross,geri-polypharm,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""geri-polypharm""."
us-np-fnp,resp-pe,cv-pe,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""cv-pe""."
us-np-fnp,wh-osteoporosis,endo-osteoporosis,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""endo-osteoporosis""."
us-np-pmhnp,pharm-polypharm-cross,geri-polypharm,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""geri-polypharm""."
us-np-pnp-pc,msk-osteoporosis,endo-osteoporosis,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""endo-osteoporosis""."
us-np-pnp-pc,pharm-polypharm-cross,geri-polypharm,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""geri-polypharm""."
us-np-pnp-pc,resp-pe,cv-pe,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""cv-pe""."
us-np-whnp,msk-osteoporosis,endo-osteoporosis,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""endo-osteoporosis""."
us-np-whnp,pharm-polypharm-cross,geri-polypharm,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""geri-polypharm""."
us-np-whnp,resp-pe,cv-pe,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""cv-pe""."
us-np-whnp,wh-osteoporosis,endo-osteoporosis,REJECTED,target_missing,,,,,0,"No published target lesson exists for topic ""endo-osteoporosis""."
