"Table Name","Row Count","Content Type","Public Count","Hidden Count","Classification","Article-like","Title Fields","Slug Fields","Body/Content Fields","SEO Fields","Visibility Fields","Visibility Values","Count Error"
"public.blog_article_generation_jobs","51","article-like","","","visibility_unknown","YES","resultTitle","resultSlug","bodyHtmlSnapshot","","","",""
"public.BlogCampaignItem","0","article-like","0","0","visibility_classified","YES","plannedTitle","plannedSlug","","plannedKeyword","status; plannedPublishAt","status=[]",""
"public.BlogPost","4366","article-like","4217","149","visibility_classified","YES","title; seoTitle; titleAlternates; clickTitle; metaTitleVariant","slug; careerSlug","body; faqBlock; checklistBlock; quickReferenceBlock","excerpt; seoTitle; seoDescription; targetKeyword; keywordCluster; keywordPlan; metaTitleVariant; metaDescriptionVariant; shortSummary; schemaSummary","postStatus; publishAt; workflowStatus; scheduledAt","postStatus=[PUBLISHED:4220; NEEDS_REVIEW:142; DRAFT:3; FAILED:1] | workflowStatus=[PUBLISHED:4220; NEEDS_SEO_REVIEW:142; GENERATED:2; FAILED_GENERATION:1; NEEDS_MEDICAL_REVIEW:1]",""
"public.canonical_topic_shared_sections","0","article-like","","","visibility_unknown","YES","heading","","body; content_version","","","",""
"public.content_items","52","article-like","0","52","visibility_classified","YES","title; seo_title","slug","content","summary; seo_title; seo_description; seo_keywords; primary_keyword; secondary_keywords","status; scheduled_at; published_at","status=[quarantined:52]",""
"public.digital_products","0","article-like","","","visibility_unknown","YES","title; seo_title","slug","","description; short_description; seo_title; seo_description; seo_keywords","","",""
"public.ecg_worksheets","0","article-like","","","visibility_unknown","YES","title","","","description","","",""
"public.flashcard_decks","177","flashcard-like","171","6","visibility_classified","YES","title","slug","","description","visibility; status","visibility=[PUBLIC_PREVIEW:171; SUBSCRIBER:6] | status=[PUBLISHED:177]",""
"public.generated_courses","0","article-like","0","0","visibility_classified","YES","title","","","description; seo_pages","status","status=[]",""
"public.internal_course_modules","0","lesson-like","","","visibility_unknown","YES","","lesson_slug","content","","","",""
"public.internal_courses","2","article-like","2","0","visibility_classified","YES","title","","","description","status","status=[published:2]",""
"public.LearnerNote","2","article-like","","","visibility_unknown","YES","title","","body","","","",""
"public.Lesson","0","article-like","0","0","visibility_classified","YES","title","slug","body","summary","status","status=[]",""
"public.LocalizedBlogArticle","2","article-like","2","0","visibility_classified","YES","localizedTitle; localizedMetaTitle","canonicalSlug; localizedSlug","contentStatus; localizedBody","localizedExcerpt; canonicalSlug; localizedMetaTitle; localizedMetaDescription; seoKeywordPrimary; seoKeywordSecondary; canonicalUrl","contentStatus; publishedAt; scheduledAt","contentStatus=[PUBLISHED:2]",""
"public.mastery_lessons","0","article-like","0","0","visibility_classified","YES","title","slug","content","","is_public","",""
"public.mastery_modules","0","lesson-like","0","0","visibility_classified","YES","title","slug","","description","is_public","",""
"public.osce_stations","1","article-like","1","0","visibility_classified","YES","title","slug","","description","is_published","",""
"public.pathway_lessons","13040","lesson-like","13040","0","visibility_classified","YES","title; seo_title","slug; topic_slug; redirect_to_slug","preview_section_count; sections; content_version","seo_title; seo_description; exam_meta","status; published_at","status=[PUBLISHED:13040]",""
"public.printable_products","0","article-like","0","0","visibility_classified","YES","title","slug","","description","is_published","",""
"public.study_milestones","0","article-like","","","visibility_unknown","YES","title","","","description","","",""
"public.test_bank_collections","0","article-like","0","0","visibility_classified","YES","","slug","","description","status","status=[]",""
"public.verified_study_decks","0","article-like","0","0","visibility_classified","YES","title","unlisted_slug","","description","visibility; published_at","visibility=[]",""
"public._prisma_migrations","128","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public._prisma_migrations_backup_20260413","68","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.accuracy_trends","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.AiGenerationJob","0","auth/user/system","0","0","visibility_classified","NO","","","","resultSummary","status","status=[]",""
"public.AiGenerationLog","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.allied_blueprints","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.analytics_events","0","auth/user/system","","","visibility_unknown","NO","","","","","","",""
"public.app_login_lockout","0","join/config","","","visibility_unknown","NO","","","","","","",""
"public.app_rate_limit_bucket","81","join/config","","","visibility_unknown","NO","","","","","","",""
"public.BackgroundJob","0","non-article/operational","0","0","visibility_classified","NO","","","","","status","status=[]",""
"public.BaselineAssessmentAttempt","12","non-article/operational","0","12","visibility_classified","NO","","","","","status","status=[OPEN:12]",""
"public.benchmark_profiles","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.BlogBatchSchedule","4","non-article/operational","4","0","visibility_classified","NO","","","","","status","status=[ACTIVE:4]",""
"public.BlogBatchScheduleItem","4481","non-article/operational","7","4474","visibility_classified","NO","","","","","plannedPublishAt; status","status=[PENDING:4474; PUBLISHED:7]",""
"public.BlogCampaign","0","non-article/operational","0","0","visibility_classified","NO","","","","keywordCluster","status","status=[]",""
"public.BlogDraftGenerationBatch","32","non-article/operational","30","2","visibility_classified","NO","","","","keywords; keywordCluster; allowDuplicateCanonicalTopic","status","status=[ACTIVE:30; COMPLETED:2]",""
"public.BlogDraftGenerationBatchItem","248","non-article/operational","0","248","visibility_classified","NO","","","","","status","status=[PENDING:234; FAILED:12; COMPLETED:2]",""
"public.canonical_topics","50","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.cat_emergency_fallback_banks","1","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.Category","38","non-article/operational","","","visibility_unknown","NO","","slug","","","","",""
"public.clinical_nursing_scenario_stages","0","question-like","","","visibility_unknown","NO","","","","","","",""
"public.clinical_nursing_scenarios","0","non-article/operational","0","0","visibility_classified","NO","title","study_link_lesson_slug","","","publish_status","publish_status=[]",""
"public.clinical_scenario_simulation_runs","0","non-article/operational","","","visibility_unknown","NO","","","","summary","","",""
"public.content_entity_revisions","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.content_import_runs","0","non-article/operational","0","0","visibility_classified","NO","","","","","status","status=[]",""
"public.content_quality_corpus_snapshots","0","join/config","","","visibility_unknown","NO","","","","","","",""
"public.content_translations","2","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.content_versions","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.ContentAutomationLog","52","non-article/operational","0","52","visibility_classified","NO","","","","summary","status","status=[FAILED:50; SUCCEEDED:2]",""
"public.critical_route_errors","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.cross_section_events","0","lesson-like","","","visibility_unknown","NO","","","source_section; destination_section","","","",""
"public.custom_practice_sessions","0","non-article/operational","0","0","visibility_classified","NO","","","","","status","status=[]",""
"public.ecg_video_question_answer_option_aggregates","0","join/config","","","visibility_unknown","NO","","","","","","",""
"public.ecg_video_question_performance_aggregates","0","join/config","","","visibility_unknown","NO","","","","","","",""
"public.ecg_video_question_practice_answer_attempts","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.ecg_video_questions","242","question-like","","","visibility_unknown","NO","","","","","","",""
"public.educational_translation_overlays","36","non-article/operational","36","0","visibility_classified","NO","","","","","status; published_at","status=[PUBLISHED:36]",""
"public.EmailNotificationLog","0","non-article/operational","","","visibility_unknown","NO","","","","meta","","",""
"public.EmailVerificationToken","39","auth/user/system","","","visibility_unknown","NO","","","","","","",""
"public.Exam","0","non-article/operational","0","0","visibility_classified","NO","title","","","","status","status=[]",""
"public.exam_attempts","0","non-article/operational","0","0","visibility_classified","NO","","","","","status","status=[]",""
"public.exam_followup_responses","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.exam_load_incidents","0","auth/user/system","","","visibility_unknown","NO","","","","request_summary","","",""
"public.exam_planner_settings","2","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.exam_question_answer_option_aggregates","0","join/config","","","visibility_unknown","NO","","","","","","",""
"public.exam_question_performance_aggregates","0","join/config","","","visibility_unknown","NO","","","","","","",""
"public.exam_question_practice_answer_attempts","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.exam_questions","72881","question-like","72828","53","visibility_classified","NO","","study_link_lesson_slug","","","status; publish_at; published_at","status=[published:72828; quarantined:53]",""
"public.ExamAttempt","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.ExamSession","0","non-article/operational","0","0","visibility_classified","NO","","","","","status","status=[]",""
"public.fallback_delivery_events","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.Flashcard","6216","question-like","6216","0","visibility_classified","NO","","","","","status","status=[PUBLISHED:6216]",""
"public.flashcard_attempts","0","auth/user/system","","","visibility_unknown","NO","","","","","","",""
"public.flashcard_bank","12549","question-like","11076","1473","visibility_classified","NO","","","","","status","status=[published:11076; needs_review:1473]",""
"public.flashcard_deck_tags","0","join/config","","","visibility_unknown","NO","","","","","","",""
"public.flashcard_mastery","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.flashcard_option_responses","0","auth/user/system","","","visibility_unknown","NO","","","","","","",""
"public.flashcard_options","0","non-article/operational","","","visibility_unknown","NO","","","content","","","",""
"public.flashcard_preview_config","1","auth/user/system","","","visibility_unknown","NO","","","upgrade_body","","","",""
"public.flashcard_preview_usage","0","join/config","","","visibility_unknown","NO","","","","","","",""
"public.flashcard_progress","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.flashcard_sessions","0","flashcard-like","0","0","visibility_classified","NO","","","","","status","status=[]",""
"public.flashcard_study_sessions","1","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.flashcard_tags","0","join/config","","","visibility_unknown","NO","","slug","","","","",""
"public.flashcard_user_stats","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.generated_questions","0","question-like","","","visibility_unknown","NO","","","","","","",""
"public.GeneratedFlashcardDraft","0","flashcard-like","","","visibility_unknown","NO","","","","","","",""
"public.GeneratedLessonDraft","0","non-article/operational","","","visibility_unknown","NO","titlePreview","","","","","",""
"public.GeneratedQuestionDraft","0","question-like","","","visibility_unknown","NO","","","","","","",""
"public.inbound_email_autoreply_events","0","auth/user/system","0","0","visibility_classified","NO","","","","","status","status=[]",""
"public.inline_content_entries","0","non-article/operational","","","visibility_unknown","NO","","","body","","","",""
"public.kill_switches","8","non-article/operational","0","8","visibility_classified","NO","","","","","enabled","",""
"public.language_enforcement_events","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.learner_session_activities","0","auth/user/system","","","visibility_unknown","NO","","","","","","",""
"public.learner_session_ip_observations","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.LearningMemoryState","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.LearningMisconceptionEvent","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.LearningRetentionEvent","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.LearningReviewQueueItem","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.lesson_batch_queue_item","0","non-article/operational","0","0","visibility_classified","NO","generatedDraftTitle","","","","status","status=[]",""
"public.lesson_bookmarks","0","join/config","","","visibility_unknown","NO","","","","","","",""
"public.longitudinal_case_sessions","0","non-article/operational","0","0","visibility_classified","NO","","","","","status","status=[]",""
"public.manual_fulfillment_queue","0","non-article/operational","0","0","visibility_classified","NO","","","","","status","status=[]",""
"public.marketing_public_content_override_revisions","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.marketing_public_content_overrides","0","non-article/operational","0","0","visibility_classified","NO","","","","","is_published; published_at","",""
"public.mastery_case_scenarios","0","non-article/operational","0","0","visibility_classified","NO","title","slug","","","is_public","",""
"public.mastery_pattern_maps","0","non-article/operational","0","0","visibility_classified","NO","title","slug","","","is_public","",""
"public.mastery_questions","0","question-like","0","0","visibility_classified","NO","","","","","is_public","",""
"public.media_assets","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.PasswordResetToken","2","auth/user/system","","","visibility_unknown","NO","","","","","","",""
"public.pathway_launch_workflows","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.practice_recommendations","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.practice_tests","14","non-article/operational","0","14","visibility_classified","NO","title","","","","status","status=[IN_PROGRESS:10; COMPLETED:2; ABANDONED:2]",""
"public.premium_protection_rollups","6","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.premium_protection_user_days","6","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.pricing_plans","0","non-article/operational","","","visibility_unknown","NO","","","","description","","",""
"public.printable_accesses","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.printable_download_events","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.Progress","26","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.protection_abuse_reviews","3","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.provisional_access_log","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.quarantine_log","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.Question","0","question-like","0","0","visibility_classified","NO","","","","","status","status=[]",""
"public.readiness_history","2","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.social_challenge_participants","0","non-article/operational","0","0","visibility_classified","NO","","","","completion_summary","status","status=[]",""
"public.social_challenges","0","non-article/operational","0","0","visibility_classified","NO","title","","","","status","status=[]",""
"public.social_connections","0","non-article/operational","0","0","visibility_classified","NO","","","","","status; removed_at","status=[]",""
"public.social_group_memberships","0","auth/user/system","0","0","visibility_classified","NO","","","","","active","",""
"public.social_groups","0","non-article/operational","0","0","visibility_classified","NO","","","","description","active","",""
"public.social_invite_codes","0","non-article/operational","0","0","visibility_classified","NO","","","","","enabled","",""
"public.social_privacy_settings","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.social_stat_snapshots","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.spaced_repetition_cards","0","non-article/operational","0","0","visibility_classified","NO","","","","","status","status=[]",""
"public.StripeOwnerPaidSubscriptionNotify","0","join/config","","","visibility_unknown","NO","","","","","","",""
"public.StripeWebhookEvent","0","join/config","","","visibility_unknown","NO","","","","","","",""
"public.student_study_profiles","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.study_plan_schedule","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.Subscription","17","non-article/operational","17","0","visibility_classified","NO","","billingRegionSlug","","","status","status=[ACTIVE:17]",""
"public.test_bank_progress","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.topic_mastery_scores","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.TrialDeviceBinding","0","join/config","","","visibility_unknown","NO","","","","","","",""
"public.unified_question_history","0","question-like","","","visibility_unknown","NO","","","","","","",""
"public.User","71","question-like","71","0","visibility_classified","NO","","","","baselineAssessmentSummary","deleted_at","",""
"public.UserFeedbackReport","2","non-article/operational","0","2","visibility_classified","NO","","","","summary; clientMetaJson","status","status=[NEW:2]",""
"public.UserRemediationEvent","0","non-article/operational","","","visibility_unknown","NO","","","","examMeta","","",""
"public.UserRemediationQueue","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.UserTopicStat","9","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.verified_study_card_progress","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
"public.verified_study_cards","0","question-like","","","visibility_unknown","NO","","related_lesson_slug","","","","",""
"public.verified_study_deck_reports","0","non-article/operational","0","0","visibility_classified","NO","","","","","status","status=[]",""
"public.verified_study_deck_shares","0","auth/user/system","","","visibility_unknown","NO","","","","","","",""
"public.weak_area_alerts","0","non-article/operational","","","visibility_unknown","NO","","","","","","",""
